+====================+===================+=========================+
| Launch Setup Clock | Launch Hold Clock | Pin                     |
+====================+===================+=========================+
| nibbler_clk        | nibbler_clk       | ram/outputData_reg[1]/D |
| nibbler_clk        | nibbler_clk       | ram/outputData_reg[0]/D |
| nibbler_clk        | nibbler_clk       | ram/outputData_reg[3]/D |
| nibbler_clk        | nibbler_clk       | ram/outputData_reg[2]/D |
| nibbler_clk        | nibbler_clk       | ram/data_reg[237][1]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[240][3]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[239][1]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[238][1]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[240][0]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[240][2]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[237][3]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[3038][1]/D |
| nibbler_clk        | nibbler_clk       | ram/data_reg[233][1]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[250][3]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[237][0]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[238][3]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[236][1]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[239][3]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[3034][1]/D |
| nibbler_clk        | nibbler_clk       | ram/data_reg[250][2]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[250][0]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[237][2]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[240][1]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[238][0]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[238][2]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[3025][1]/D |
| nibbler_clk        | nibbler_clk       | ram/data_reg[233][3]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[3293][1]/D |
| nibbler_clk        | nibbler_clk       | ram/data_reg[239][2]/D  |
| nibbler_clk        | nibbler_clk       | ram/data_reg[3019][1]/D |
| nibbler_clk        | nibbler_clk       | ram/data_reg[3031][1]/D |
| nibbler_clk        | nibbler_clk       | ram/data_reg[232][1]/D  |
